AccidentYear,1,2,3,4,5,6,7,8,9,10
1998,1201,2652,3172,3178,3180,3181,3181,3181,3201,3200
1999,741,820,823,825,825,825,825,825,825,825
2000,-635,-634,-633,-633,-633,-633,-633,-633,-633,-633
2001,0,1,1,1,4,1,2,2,1,1
2002,1,1,1,1,1,1,1,1,1,1
2003,0,0,1,3,3,3,3,3,3,3
2004,0,0,0,0,0,0,0,0,0,0
2005,0,3,3,3,3,3,0,0,0,0
2006,0,0,0,0,0,0,0,0,0,0
2007,0,0,0,0,0,0,0,0,0,0
