,Latest,IBNR,Ultimate,Mack Std Err
1998-01-01,3200.0,,3200.0,
1999-01-01,825.0,-0.2577319587628608,824.7422680412371,9.093639215450438e-126
2000-01-01,-633.0,-2.9615216350731544,-635.9615216350732,1.6089116805088246
2001-01-01,2.0,0.009357098373059092,2.009357098373059,0.22756598586269797
2002-01-01,1.0,0.004976319947995522,1.0049763199479955,0.6019740028664899
2003-01-01,3.0,0.013143393388644675,3.0131433933886447,1.6710685047855802
2004-01-01,,,,
2005-01-01,3.0,0.026574938975815865,3.026574938975816,3.2704930207494622
2006-01-01,,,,
2007-01-01,,,,
