AccidentYear,Ultimate Loss
1998,3200.0
1999,825.0
2000,-636.1602596105841
2001,2.0099850224663007
2002,1.0052903750479794
2003,3.015871125143938
2004,0.0
2005,3.02931483001085
2006,0.0
2007,0.0
